usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11900,"CORN,SWEET,WHITE,RAW",86,3.22,1.18,19.02,2.7,3.22,2,0.52,270,15,6.8,1,0.07,0.182,0,73,"1 ear, small (5-1/2"" to 6-1/2"" long)",90,"1 ear, medium (6-3/4"" to 7-1/2"" long)"
11902,"CORN,sweet,WHITE, cooked, boiled, drained, with SALT",97,3.34,1.41,21.71,2.7,7.73,2,0.55,252,253,6.2,2,0.09,0.197,0,89,"1 ear, small (5-1/2"" to 6-1/2"" long)",103,"1 ear, medium (6-3/4"" to 7-1/2"" long)"
11901,"CORN,sweet,WHITE, cooked, boiled, drained, without SALT",97,3.34,1.41,21.71,2.7,7.73,2,0.55,252,3,6.2,2,0.09,0.197,0,89,"1 ear, small (5-1/2"" to 6-1/2"" long)",103,"1 ear, medium (6-3/4"" to 7-1/2"" long)"
11907,"CORN,sweet,WHITE, canned, creamed,NO SALT",72,1.74,0.42,18.13,1.2,2.21,3,0.38,134,3,4.6,1,0.065,0,0,256,1 cup,482,"1 can, (303 x 406)"
11906,"CORN,sweet,WHITE, canned, creamed,regular pack",72,1.74,0.42,18.13,1.2,2.21,3,0.38,134,285,4.6,1,0.065,0,0,256,1 cup,482,"1 can, (303 x 406)"
11909,"CORN,sweet,WHITE, canned, VACUUM pack,NO SALT",79,2.41,0.5,19.44,2,,5,0.42,186,3,8.1,1,0.077,0,0,210,1 cup,340,"1 can, (303 x 406)"
11908,"CORN,sweet,WHITE, canned, VACUUM pack,regular pack",79,2.41,0.5,19.44,2,,5,0.42,186,272,8.1,1,0.077,0,0,210,1 cup,340,"1 can, (303 x 406)"
11905,"CORN,sweet,WHITE, canned, whole KERNEL,drained solids ",81,2.62,1,18.59,2,2.4,5,0.86,195,323,8.5,1,0.154,0,0,164,1 cup,298,"1 can, (303 x 406)"
11904,"CORN,sweet,WHITE, canned, whole KERNEL,NO SALT,solids and LIQUIDS",64,1.95,0.5,15.41,0.7,,4,0.41,164,12,5.5,1,,0.077,0,256,1 cup,482,"1 can, (303 x 406)"
11903,"CORN,sweet,WHITE, canned, whole KERNEL, solids and LIQUIDS",64,1.95,0.5,15.41,1.7,,4,0.41,164,213,5.5,0,,0.077,0,256,1 cup,482,"1 can, (303 x 406)"
11912,"CORN,sweet,WHITE,frozen,kernels CUT OFF COB, boiled, drained, with SALT",80,2.75,0.43,19.56,2.4,3.12,4,0.35,147,245,3.1,3,0.066,0,0,165,1 cup,284,"1 package, (10 oz) yields"
11911,"CORN,sweet,WHITE,frozen,kernels CUT OFF COB, boiled, drained, without SALT",80,2.75,0.43,19.56,2.4,3.12,4,0.35,147,5,3.1,3,0.066,0,0,165,1 cup,284,"1 package, (10 oz) yields"
11910,"CORN,sweet,WHITE,frozen,kernels CUT OFF COB,unprepared ",88,3.02,0.77,20.81,2.4,,4,0.42,210,3,6.4,0,0.119,0,0,165,1 cup,284,"1 package, (10 oz)"
11915,"CORN,sweet,WHITE,frozen,kernels ON COB, cooked, boiled, drained, with SALT",94,3.11,0.74,22.33,2.8,,3,0.61,251,240,4.8,4,0.114,0,0,165,"1 cup, kernels",63,"1 ear, yields"
11914,"CORN,sweet,WHITE,frozen,kernels ON COB, cooked, boiled, drained, without SALT",94,3.11,0.74,22.33,2.1,,3,0.61,251,4,4.8,4,0.114,0,0,165,"1 cup, kernels",63,"1 ear, yields"
11913,"CORN,sweet,WHITE,frozen,kernels ON COB,unprepared ",98,3.28,0.78,23.5,2.8,,4,0.68,294,5,7.2,4,0.12,0,0,165,"1 cup, kernels",125,"1 ear, yields"
11770,"CORN,sweet, yellow, cooked, boiled, drained, with SALT",96,3.41,1.5,20.98,2.4,4.54,3,0.45,218,253,5.5,263,0.09,0.197,0,89,"1 ear, small (5-1/2"" to 6-1/2"" long)",103,"1 ear, medium (6-3/4"" to 7-1/2"" long)"
11168,"CORN,sweet, yellow, cooked, boiled, drained, without SALT",96,3.41,1.5,20.98,2.4,4.54,3,0.45,218,1,5.5,263,0.09,0.197,0,89,"1 ear, small (5-1/2"" to 6-1/2"" long)",103,"1 ear, medium (6-3/4"" to 7-1/2"" long)"
11170,"CORN,sweet, yellow, canned, BRINE pack, solids and LIQUIDS",61,1.95,0.77,13.86,1.7,2.83,4,0.36,136,195,2.6,34,0.03,0.077,0,256,1 cup,482,"1 can, (303 x 406)"
