usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
9271,"PINEAPPLE,canned,packed in extra heavy syrup,solids and liquids",83,0.34,0.11,21.5,0.8,,14,0.38,102,1,7.3,14,,0.009,0,260,"1 cup, crushed, sliced, or chunks",,
9267,"PINEAPPLE,canned,packed in water,solids and liquids",32,0.43,0.09,8.3,0.8,7.5,15,0.4,127,1,7.7,38,0.01,0.006,0,246,"1 cup, crushed, sliced, or chunks",47,"1 slice,  or ring (3"" dia) with liquid"
9270,"PINEAPPLE,canned,packed in heavy syrup,solids and liquids",78,0.35,0.11,20.2,0.8,16.9,14,0.38,104,1,7.4,14,0.01,0.009,0,254,"1 cup, crushed, sliced, or chunks",49,"1 slice,  or ring (3"" dia) with liquid"
9354,"PINEAPPLE,canned,packed in juice,drained",60,0.51,0.11,15.56,1.3,14.26,16,0.28,124,1,9.4,50,0.02,0.008,0,181,"1 cup, chunks",195,"1 cup, crushed"
9268,"PINEAPPLE,canned,packed in juice,solids and liquids",60,0.42,0.08,15.7,0.8,14.45,14,0.28,122,1,9.5,38,0.01,0.006,0,249,"1 cup, crushed, sliced, or chunks",47,"1 slice,  or ring (3"" dia) with liquid"
9269,"PINEAPPLE,canned,packed in light syrup,solids and liquids",52,0.36,0.12,13.45,0.8,12.65,14,0.39,105,1,7.5,38,0.01,0.009,0,252,"1 cup, crushed, sliced, or chunks",48,"1 slice,  or ring (3"" dia) with liquid"
9272,"PINEAPPLE,frozen,CHUNKS,sweetened",86,0.4,0.1,22.2,1.1,21.1,9,0.4,100,2,8,30,0.02,0.007,0,245,"1 cup, chunks",,
9266,"PINEAPPLE,RAW,ALL VARieties",50,0.54,0.12,13.12,1.4,9.85,13,0.29,109,1,47.8,58,0.02,0.009,0,165,"1 cup, chunks",905,1 fruit
9430,"PINEAPPLE,RAW,EX SWeeT VARiety",51,0.53,0.11,13.5,1.4,10.32,13,0.28,108,1,56.4,57,0.02,,,165,"1 cup, chunks",166,"1 slice,  (4-2/3"" dia x 3/4"" thick)"
9429,"PINEAPPLE,RAW,TRADITIONAL VARiety",45,0.55,0.13,11.82,,8.29,13,0.25,125,1,16.9,52,,,,165,"1 cup, chunks",175,"1 slice,  (4-2/3"" dia x 3/4"" thick)"
9278,"PLANTAINS,COOKED",116,0.79,0.18,31.15,2.3,14,2,0.58,465,5,10.9,909,0.13,0.069,0,200,"1 cup, mashed",154,"1 cup, slices"
9446,"PLANTAINS,GReeN,FRIED",309,1.5,11.81,49.17,3.5,3.63,4,0.67,482,2,3.4,1192,,3.69,,118,1 cup,53,"10 slices,  (1/4"" thick)"
9277,"PLANTAINS,RAW",122,1.3,0.37,31.89,2.3,15,3,0.6,499,4,18.4,1127,0.14,0.143,0,148,"1 cup, sliced",179,1 medium
9447,"PLANTAINS,YElLow,FRIED",236,1.42,7.51,40.77,3.2,21.76,6,0.62,507,6,,1318,1.1,1.816,,169,1 cup,,
9379,"PLUMS,canned,heavy syrup,drained",89,0.44,0.14,23.12,1.5,21.58,10,0.84,93,19,0.4,399,0.26,0.011,0,183,"1 cup, with pits yields",,
9285,"PLUMS,canned,PURPLE,packed in extra heavy syrup,solids and liquids",101,0.36,0.1,26.31,1,,9,0.82,89,19,0.4,254,,0.008,0,261,"1 cup,  pitted",,
9281,"PLUMS,canned,PURPLE,packed in water,solids and liquids",41,0.39,0.01,11.03,0.9,10.1,7,0.16,126,1,2.7,914,0.18,0.001,0,249,"1 cup,  pitted",46,"1 plum,  with liquid"
9284,"PLUMS,canned,PURPLE,packed in heavy syrup,solids and liquids",89,0.36,0.1,23.24,0.9,22.31,9,0.84,91,19,0.4,259,0.18,0.008,0,258,"1 cup,  pitted",46,"1 plum,  with liquid"
9282,"PLUMS,canned,PURPLE,packed in juice,solids and liquids",58,0.51,0.02,15.15,0.9,14.22,10,0.34,154,1,2.8,1009,0.18,0.002,0,252,"1 cup,  pitted",46,"1 plum,  with liquid"
9283,"PLUMS,canned,PURPLE,packed in light syrup,solids and liquids",63,0.37,0.1,16.28,0.9,15.35,9,0.86,93,20,0.4,231,0.18,0.008,0,252,"1 cup,  pitted",46,"1 plum,  with liquid"
9293,"PLUMS,DRIED (PRUNES),stewed,with ADDED SUGAR",124,1.09,0.22,32.88,3.8,,21,1.04,312,2,2.7,285,,0.017,0,248,"1 cup,  pitted",,
9292,"PLUMS,DRIED (PRUNES),stewed,without ADDED SUGAR",107,0.96,0.16,28.08,3.1,24.98,19,0.41,321,1,2.9,342,0.19,0.01,0,248,"1 cup,  pitted",,
9291,"PLUMS,DRIED (PRUNES),uncooked",240,2.18,0.38,63.88,7.1,38.13,43,0.93,732,2,0.6,781,0.43,0.088,0,174,"1 cup, pitted",9.5,"1 prune, pitted"
9279,"PLUMS,RAW",46,0.7,0.28,11.42,1.4,9.92,6,0.17,157,0,9.5,345,0.26,0.017,0,165,"1 cup, sliced",66,"1 fruit,  (2-1/8"" dia)"
9286,"POMEGRANATES,RAW",83,1.67,1.17,18.7,4,13.67,10,0.3,236,3,10.2,0,0.6,0.12,0,282,"1 pomegranate,  (4"" dia)",87,".5 cup, arils (seed/juice sacs)"
9287,"PRICKLY PEARS,RAW",41,0.73,0.51,9.57,3.6,,56,0.3,220,5,14,43,,0.067,0,149,1 cup,103,"1 fruit, without refuse"
