usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
11793,"KOHLRABI,cooked, boiled, drained, with salt",29,1.8,0.11,6.69,1.1,2.8,25,0.4,340,257,54,35,0.52,0.014,0,165,"1 cup, slices",,
11242,"KOHLRABI,cooked, boiled, drained, without salt",29,1.8,0.11,6.69,1.1,2.8,25,0.4,340,21,54,35,0.52,0.014,0,165,"1 cup, slices",,
11241,"KOHLRABI,RAW",27,1.7,0.1,6.2,3.6,2.6,24,0.4,350,20,62,36,0.48,0.013,0,135,1 cup,16,1 slice
11795,"LEEKS,(BULB and LOWER LEAF-PORTION),cooked, boiled, drained, with salt",31,0.81,0.2,7.62,1,2.11,30,1.1,87,246,4.2,812,0.5,0.027,0,124,1 leek,26,".25 cup, chopped"
11247,"LEEKS,(BULB and LOWER LEAF-PORTION),cooked, boiled, drained, without salt",31,0.81,0.2,7.62,1,2.11,30,1.1,87,10,4.2,812,0.5,0.027,0,124,1 leek,26,".25 cup, chopped or diced"
11246,"LEEKS,(BULB and LOWER LEAF-PORTION),RAW",61,1.5,0.3,14.15,1.8,3.9,59,2.1,180,20,12,1667,0.92,0.04,0,89,1 cup,89,1 leek
11624,"LEEKS,(BULB and LOWER-LEAF PORTION),FREEZE-DRIED",321,15.2,2.1,74.65,10.4,,360,7.6,2400,35,118,277,,0.279,0,0.2,1 tbsp,0.8,.25 cup
11250,"LETTUCE,BUTTERHEAD (INCL BOSTON and BIBB TYPES),RAW",13,1.35,0.22,2.23,1.1,0.94,35,1.24,238,5,3.7,3312,0.18,0.029,0,55,"1 cup, shredded or chopped",163,"1 head,  (5"" dia)"
11251,"LETTUCE,COS OR ROMAINE,RAW",17,1.23,0.3,3.29,2.1,1.19,33,0.97,247,8,4,8710,0.13,0.039,0,47,"1 cup, shredded",6,"1 leaf, inner"
11253,"LETTUCE,GREEN LEAF,RAW",15,1.36,0.15,2.87,1.3,0.78,36,0.86,194,28,9.2,7405,0.22,0.02,0,36,"1 cup, shredded",360,1 head
11252,"LETTUCE,ICEBERG,RAW",14,0.9,0.14,2.97,1.2,1.97,18,0.41,141,10,2.8,502,0.18,0.018,0,72,"1 cup, shredded",57,"1 cup, chopped (1/2"" pieces, loosely packed)"
11257,"LETTUCE,RED LEAF,RAW",16,1.33,0.22,2.26,0.9,0.48,33,1.2,187,25,3.7,7492,0.15,,,28,"1 cup, shredded",2.6,"1 leaf, inner"
11266,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",22,2.5,0.1,4.3,0.6,1.72,18,0.4,448,6,0,0,0.01,0.014,0,87,"1 cup, whole",72,"1 cup, sliced"
11239,"MUSHROOMS,CHANTERELLE,RAW",38,1.49,0.53,6.86,3.8,1.16,15,3.47,506,9,,,,,,54,1 cup,5.4,1 piece
11264,"MUSHROOMS, canned, drained solid",25,1.87,0.29,5.09,2.4,2.34,11,0.79,129,425,0,0,0.01,0.038,0,156,1 cup,132,1 can
11240,"MUSHROOMS,MOREL,RAW",31,3.12,0.57,5.1,2.8,0.6,43,12.18,411,21,,0,,0.065,,66,1 cup,12.9,1 piece
11243,"MUSHROOMS,PORTABELLA,GRILLED",29,3.28,0.58,4.44,2.2,2.26,3,0.4,437,11,0,0,0,0.079,0,121,"1 cup, sliced",,
11265,"MUSHROOMS,PORTABELLA,RAW",22,2.11,0.35,3.87,1.3,2.5,3,0.31,364,9,0,0,0.02,0.06,0,86,"1 cup, diced",84,"1 piece, whole"
11798,"MUSHROOMS,SHIITAKE,cooked, with salt",56,1.56,0.22,14.39,2.1,3.84,3,0.44,117,240,0.3,0,0,0.05,0,145,"1 cup, pieces",72,4 mushrooms
11269,"MUSHROOMS,SHIITAKE,cooked, without salt",56,1.56,0.22,14.39,2.1,3.84,3,0.44,117,4,0.3,0,0,0.05,0,145,"1 cup, pieces",72,4 mushrooms
