usda_id,name,calories,protein,fat,carbohydrates,fiber,sugar,calcium,iron,potassium,sodium,vitamin_c,vitamin_a,vitamin_e,saturated_fat,cholesterol,common_weight_1,common_serving_1,common_weight_2,common_serving_2
1055,"CREAM,SOUR,RED FAT,CULTURED",135,2.94,12,4.26,0,0.16,104,0.07,129,89,0.9,372,0.34,7.47,39,242,1 cup,15,1 tbsp
1054,"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257,3.2,22.22,12.49,0,8,101,0.05,147,8,0,685,0.64,13.831,76,60,1 cup,3,1 tbsp
1242,"ICE CRM SNDWCH,VANILLA,LT,NO SUGAR ADDED",200,5.71,2.86,42.86,7.1,6.58,86,0,41,164,0,429,0.14,0.821,21,70,1 serving,,
1237,"ICE CRM,BAR OR STK,CHOC COVERED",331,4.1,24.1,24.5,0.8,18.3,119,0.29,305,68,0,123,0.42,13.202,28,50,1 bar,,
1236,"ICE CRM,SOFT SERVE,CHOC",222,4.1,13,22.2,0.7,21.16,131,0.21,177,61,0.8,589,0.61,7.46,91,86,.5 cup,,
1215,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,RED FAT,FORT W/ VIT D",240,17.6,14.1,10.6,0,8.02,529,0.2,330,1587,0,945,0.27,8.85,53,21,"1 slice,  3/4 oz",19,"1 slice,  2/3 oz"
1252,"CHEESE PRODUCT,PAST PROCESS,AMERICAN,VITAMIN D FORT",310,18.18,22.63,8.52,0,6.57,1433,0.96,273,1272,0,1095,0.77,13.291,79,19,"1 slice, 2/3 oz.",21,"1 slice, 3/4 oz."
42258,"CHEESE PRODUCT,PAST PROCESS,CHEDDAR,RED FAT",240,17.6,14.1,10.6,0,8.02,529,0.2,330,1587,0,961,0.27,8.85,53,28,"1 slice,  1 oz",,
1164,"CHEESE SAU,PREP FROM RECIPE",197,10.33,14.92,5.48,0.1,0.19,311,0.35,142,493,0.6,310,0.09,8.034,38,243,1 cup,30,2 tbsp
43276,"CHEESE SPRD,CRM CHS BASE",295,7.1,28.6,3.5,0,3.5,71,1.13,112,505,0,1031,0.77,18.02,90,240,1 cup,28.35,1 oz
1048,"CHEESE SPRD,PAST PROCESS,AMERICAN",290,16.41,21.23,8.73,0,7.32,562,0.33,242,1625,0,653,0.19,13.327,55,32,2 tablespoon,28.35,1 oz
1161,"CHEESE SUB,MOZZARELLA",248,11.47,12.22,23.67,0,23.67,610,0.4,455,685,0.1,1457,0.11,3.711,0,113,"1 cup, shredded",28.35,1 oz
43278,"CHEESE,AMERICAN CHEDDAR,IMITN",239,16.7,14,11.6,0,7.74,562,0.33,242,1345,0,430,0.27,8.79,36,224,1 cup,18,1 cubic inch
42235,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,LACTOSE RED",74,12.4,1,3.2,0.6,2.6,53,0.14,86,220,0,40,0.01,0.64,4,227,1 cup,,
43352,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,NO NA",72,12.4,1,2.7,0,2.7,61,0.14,86,13,0,40,0.01,0.632,4,226,1 cup,,
43396,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT,W/VEG",67,10.9,1,3,0,3,56,0.1,86,403,4,89,0.01,0.619,3,226,1 cup,,
43273,"CHEESE,COTTAGE,W/VEG",95,10.9,4.2,3,0.1,0.37,56,0.1,86,403,4,372,0.05,2.646,14,226,1 cup,,
43274,"CHEESE,CREAM,LOW FAT",201,7.85,15.28,8.13,0,5.82,148,0.17,247,470,0,552,0.27,9.098,54,240,1 cup,15,1 tbsp
42155,"CHEESE,MONTEREY,LOW FAT",310,28.2,21.6,0.7,0,0.56,705,0.72,81,564,0,549,0.19,14.04,65,132,"1 cup, diced",113,"1 cup, shredded"
42304,"CHEESE,MOZZARELLA,NON-FAT",141,31.7,0,3.5,1.8,1.48,961,0.31,106,743,0,481,0.14,0,18,113,"1 cup, shredded",,
42303,"CHEESE,MUENSTER,LOW FAT",271,24.7,17.6,3.5,0,3.5,529,0.41,134,600,0,593,0.15,10.95,63,113,"1 cup, shredded",18,1 cubic inch
43340,"CHEESE,PARMESAN,LO NA",451,41.6,29.99,3.7,0,0.85,1376,0.95,107,63,0,463,0.27,19.051,79,100,"1 cup, grated",5,1 tbsp
43275,"CHEESE,PAST PROCESS,AMERICAN,LOFAT",180,24.6,7,3.5,0,0.59,684,0.43,180,1430,0,215,0.27,4.41,35,140,"1 cup, diced",113,"1 cup, shredded"
42205,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,FAT-FREE",148,22.5,0.8,13.4,0,9.95,689,0.28,288,1528,0,1467,0.27,0.504,11,16,1 cubic inch,21,"1 slice,  (3/4 oz)"
43398,"CHEESE,PAST PROCESS,CHEDDAR OR AMERICAN,LO NA",376,22.2,31.19,1.6,0,0.45,616,0.39,162,7,0,959,0.27,19.651,94,140,"1 cup, diced",113,"1 cup, shredded"
43379,"CHEESE,PAST PROCESS,SWISS,LOFAT",165,25.5,5.1,4.3,0,1.35,684,0.43,180,1430,0,152,0.07,3.303,35,140,"1 cup, diced",113,"1 cup, shredded"
43405,"CHEESE,SWISS,LOW SODIUM",374,28.4,27.4,3.4,0,1.31,961,0.17,111,14,0,818,0.37,17.744,92,132,"1 cup, diced",108,"1 cup, shredded"
